Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
83_ITS2,Sydney_2015_Coral (Plesiastrea)_site 3_d,Host,Plesiastrea versipora,Summer,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
40_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 1_a,Environment,Macroalgae,Summer,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
189_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 1_b,Environment,Macroalgae,Summer,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
190_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 1_c,Environment,Macroalgae,Summer,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
191_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 1_d,Environment,Macroalgae,Summer,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
41_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 2_a,Environment,Macroalgae,Summer,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
192_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 2_b,Environment,Macroalgae,Summer,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
193_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 2_c,Environment,Macroalgae,Summer,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
194_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 2_d,Environment,Macroalgae,Summer,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
42_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 3_a,Environment,Macroalgae,Summer,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
195_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 3_b,Environment,Macroalgae,Summer,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
196_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 3_c,Environment,Macroalgae,Summer,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
197_ITS2,Sydney_2015_Macroalgae (Ecklonia)_site 3_d,Environment,Macroalgae,Summer,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
37_ITS2,Sydney_2015_Sediment_site 1_a,Environment,Sediment,Summer,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
180_ITS2,Sydney_2015_Sediment_site 1_b,Environment,Sediment,Summer,Site_1,B,Temperate,C,x,x,x,x,x,n,n,n,n
180_ITS2Re,Sydney_2015_Sediment_site 1_b,Environment,Sediment,Summer,Site_1,B,Temperate,C,x,x,x,x,x,n,n,n,n
181_ITS2,Sydney_2015_Sediment_site 1_c,Environment,Sediment,Summer,Site_1,C,Temperate,D,x,x,x,x,x,n,n,n,n
